Word,Frequency
sedap,14
makanan,12
meriah,10
murah,9
terbaik,8
bundle,8
pilihan,7
barang,7
suasana,6
minggu,6
panas,6
cmart,6
vendor,6
harga,6
parking,5
ayam,5
gunting,5
event,5
memang,5
baju,5
datang,5
tapak,5
senang,5
okay,4
best,4
gila,4
hujung,4
ramai,4
teratur,4
pengunjung,4
jualan,4
berbaloi,4
kualiti,4
cantik,4
anak,4
sikit,3
friendly,3
air,3
harap,3
sistem,3
crowd,3
pedas,3
vintage,3
staff,3
membantu,3
seronok,3
padu,3
pagi,3
petang,3
ramen,2
bawa,2
terjual,2
pengurusan,2
takoyaki,2
bersih,2
balang,2
kena,2
habis,2
agak,2
laris,2
berpatutan,2
nasi,2
lemak,2
preloved,2
selesa,2
keluarga,2
enjoy,2
keropok,2
lekor,2
shirt,2
tempat,2
luas,2
jalan,2
sneaker,2
terpakai,2
like,1
semuanya,1
berjalan,1
lancar,1
keep,1
dj,1
tak,1
susah,1
masa,1
puncak,1
sesuai,1
family,1
hari,1
mantap,1
kawasan,1
semua,1
terlalu,1
stall,1
jual,1
variety,1
dessert,1
improve,1
overall,1
kat,1
bahagian,1
thrift,1
depan,1
cari,1
seluar,1
repeat,1
awal,1
cuaca,1
kipas,1
syurga,1
jumpa,1
berkualiti,1
fasiliti,1
bagus,1
masalah,1
lepak,1
sempit,1
letak,1
luaskan,1
space,1
wajib,1
booking,1
pantas,1
mudah,1
carboot,1
lepas,1
kasut,1
sneakers,1
licin,1
jagung,1
cuma,1
pihak,1
tambah,1
tong,1
sampah,1
meniaga,1
strategik,1
cepat,1
sebab,1
sentiasa,1
sampai,1
