Word,Frequency
bundle,23
kasut,7
vintage,7
pedas,6
terpakai,6
air,5
shirt,5
topi,5
goreng,5
takoyaki,4
nasi,4
teh,4
sos,4
pisang,4
kuah,4
special,4
denim,4
ayam,3
gunting,3
cheese,3
lemak,3
jeans,3
cenderamata,3
sneakers,3
keropok,3
lekor,3
ramen pedas,2
ramen,2
kopi o,2
kopi,2
bundle t-shirt,2
kasut terpakai,2
topi vintage,2
teh ais cincau,2
ais,2
cincau,2
rantai,2
oden,2
ayam gunting pedas,2
sos thai homemade,2
thai,2
homemade,2
bundle t-shirt vintage,2
seluar jeans levi's,2
seluar,2
levi's,2
nasi lemak daun pisang,2
daun,2
sambal ikan bilis,2
sambal,2
ikan,2
bilis,2
sneakers terpakai,2
kasut converse bundle,2
converse,2
keropok lekor panas,2
panas,2
sos kuah special,2
air kelapa muda,2
kelapa,2
muda,2
teh tarik kaw,2
tarik,2
kaw,2
baju kurung preloved,2
baju,2
kurung,2
preloved,2
tudung labuh bundle,2
tudung,2
labuh,2
mee rebus kuah kacang,2
mee,2
rebus,2
kacang,2
tauhu goreng,2
tauhu,2
jacket denim vintage,2
jacket,2
beg sandang bundle,2
beg,2
sandang,2
pisang goreng cheese,2
cakoi garing,2
cakoi,2
garing,2
kasut kasual bundle,2
kasual,2
stokin bundle campur,2
stokin,2
campur,2
laksa utara pedas,2
laksa,2
utara,2
ulam-ulaman segar,2
ulam,2
ulaman,2
segar,2
dress floral bundle,2
dress,2
floral,2
skirt denim bundle,2
skirt,2
burger ramly special,2
burger,2
ramly,2
french fries,2
french,2
fries,2
topi baseball bundle,2
baseball,2
hoodie bundle murah,2
hoodie,2
murah,2
ayam gunting,1
air balang,1
balang,1
sosej jumbo,1
sosej,1
jumbo,1
corndog cheese,1
corndog,1
air katira,1
katira,1
kaca mata,1
kaca,1
mata,1
nasi lemak,1
kuih muih,1
kuih,1
muih,1
jeans levis bundle,1
levis,1
jaket kulit,1
jaket,1
kulit,1
gelang tangan diy,1
gelang,1
tangan,1
diy,1
rantai manik,1
manik,1
koleksi mainan lama,1
koleksi,1
mainan,1
lama,1
buku terpakai,1
buku,1
kasut sneakers terpakai,1
topi snapback,1
snapback,1
t-shirt vintage,1
air jagung ketagih,1
jagung,1
ketagih,1
nasi goreng kampung,1
kampung,1
keropok lekor,1
cenderamata custom,1
custom,1
rantai kunci,1
kunci,1
pelekat helmet,1
pelekat,1
helmet,1
